,Unnamed: 0,station_id,station_name,station_latitude,station_longitude,state,city,neighbourhood
290,2906,286.0,San Carlos St at 11th St,37.3364659,-121.8766132,California,San Jose,Naglee Park
291,2911,152.0,47th St at San Pablo Ave,37.8356322046,-122.2810506821,California,,
292,2977,234.0,Farnam St at Fruitvale Ave,37.778058,-122.2254,California,Oakland,Fruitvale
293,3070,216.0,San Pablo Ave at 27th St,37.8178269,-122.2756976,California,Oakland,Hoover-Foster
294,3162,316.0,San Salvador St at 1st St,37.330165,-121.885831,California,San Jose,SoFA
295,3359,174.0,Shattuck Ave at 51st St,37.8368013,-122.2640037,California,Oakland,Idora Park
296,3378,304.0,Jackson St at 5th St,37.3487586867,-121.8947978318,California,San Jose,Hensley Historic District
297,3393,275.0,Julian St at 6th St,37.3429973,-121.8888891,California,San Jose,Saint James Square Historic District
298,3565,215.0,34th St at Telegraph Ave,37.8225475,-122.2663179,California,Oakland,Pill Hill
299,3611,288.0,Mission St at 1st St,37.3509643,-121.9020161,California,San Jose,Civic Center
300,3635,156.0,Stanford Ave at Hollis St,37.8384435,-122.2886647,California,,
301,3640,306.0,Saint James Park,37.339301,-121.889937,California,San Jose,Saint James Square Historic District
302,3768,301.0,Willow St at Vine St,37.3184498,-121.8831724,California,San Jose,Washington
303,3770,287.0,Almaden Blvd at Balbach St,37.32673,-121.8892731,California,San Jose,SoFA
304,3778,170.0,Telegraph Ave at 58th St,37.8444927,-122.261351,California,Oakland,Idora Park
305,3998,359.0,Williams Ave at Apollo St,37.7301675082,-122.3989632726,California,San Francisco,Silver Terrace
306,4015,298.0,Oak St at 1st St,37.3221246254,-121.8810904026,California,San Jose,Washington
307,4039,283.0,Delmas Ave and San Fernando St,37.3302641,-121.8977018,California,San Jose,Little Italy
308,4235,217.0,27th St at MLK Jr Way,37.8170154,-122.2717615,California,Oakland,Northgate / Koreatown
309,4672,221.0,6th Ave at E 12th St (Temporary Location),37.794396,-122.253842,California,Oakland,San Antonio
310,4686,173.0,Shattuck Ave at 55th St,37.8403643,-122.2644881,California,Oakland,Idora Park
311,5027,228.0,Foothill Blvd at Harrington Ave,37.77993,-122.2177284,California,Oakland,Fruitvale
312,5148,358.0,Williams Ave at 3rd St,37.7292786517,-122.3928961158,California,San Francisco,Bayview District
313,5600,307.0,SAP Center,37.332692,-121.900084,California,San Jose,Little Italy
314,5950,295.0,William St at 10th St,37.3327938,-121.8759263,California,San Jose,Naglee Park
315,6063,375.0,Grove St at Masonic Ave,37.7748362941,-122.4465456605,California,San Francisco,Haight-Ashbury
316,7279,303.0,San Pedro St at Hedding St,37.352601,-121.905733,California,San Jose,Civic Center
317,8022,164.0,Isabella St at San Pablo Ave,37.8149882304,-122.2748440504,California,Oakland,San Pablo Gateway
318,9525,290.0,George St at 1st St,37.3477319,-121.899464,California,San Jose,Civic Center
319,10394,226.0,26th Ave at International Blvd,37.781123,-122.2329915,California,Oakland,Jingletown
320,10459,225.0,23rd Ave at Foothill Blvd,37.7851915,-122.2343822,California,Oakland,
321,19045,300.0,Palm St at Willow St,37.3172979,-121.884995,California,San Jose,
322,20125,98.0,Valencia St at 16th St,37.765052,-122.4218661,California,San Francisco,Mission District
323,23480,272.0,Woolsey St at Sacramento St1,37.850577684,-122.278175354,California,Berkeley,Harmon Tract
324,23620,345.0,Hubbell St at 16th St,37.7664826964,-122.3982793093,California,San Francisco,Mission Bay
325,23624,386.0,24th St at Bartlett St,37.7521049844,-122.4197235703,California,San Francisco,Liberty Street Historic District
326,23663,130.0,22nd St Caltrain Station,37.7572884078,-122.3920512199,California,San Francisco,Dogpatch
327,23669,51.0,Parker Ave at McAllister St,37.7761009126,-122.4530929327,California,San Francisco,Haight-Ashbury
328,23689,398.0,Leavenworth St at Broadway,37.7964706916,-122.41685763,California,San Francisco,Russian Hill-Paris Block Architectural District
329,23870,344.0,16th St Depot,37.7663485859,-122.3962917924,California,San Francisco,Mission Bay
330,24015,388.0,Backesto Park (Jackson St at 13th St),37.3528868273,-121.8860498071,California,San Jose,
331,24134,389.0,Taylor St at 9th St,37.3530616613,-121.8919372559,California,San Jose,
332,28647,37.0,2nd St at Folsom St,37.7853765938,-122.3969060183,California,San Francisco,Transbay
333,28649,390.0,Indiana St at Cesar Chavez St,37.7504343571,-122.390447259,California,San Francisco,Potrero Terrace
334,28658,400.0,Buchanan St at North Point St,37.8042720199,-122.4335369468,California,San Francisco,
335,28674,395.0,Kerley Dr at Rosemary St,37.3608541553,-121.9068342447,California,San Jose,
336,28679,399.0,Bay St at Fillmore St,37.8026359497,-122.4362888932,California,San Francisco,Marina District
337,28686,393.0,Asbury St at The Alameda,37.3380095179,-121.9194272161,California,San Jose,College Park
338,28688,384.0,Jackson St at Polk St,37.7941604417,-122.421567589,California,San Francisco,Nob Hill
339,28699,401.0,Skyport Dr at Technology Dr,37.3652265519,-121.9168147445,California,San Jose,
340,28774,387.0,Randall St at Chenery St,37.7398127173,-122.4255225062,California,San Francisco,Glen Park
341,28812,407.0,Bird Ave at Coe Ave,37.31515793,-121.8978327513,California,San Jose,
342,28909,352.0,Goettingen St at Bacon St,37.7269429662,-122.4065995216,California,San Francisco,Portola
343,29074,397.0,Gish Rd at 1st St,37.3618668003,-121.9093152881,California,San Jose,
344,29448,394.0,10th St at Empire St,37.3494263088,-121.8876188993,California,San Jose,Hensley Historic District
345,29524,391.0,1st St at Younger Ave,37.3550295823,-121.9044363499,California,San Jose,Civic Center
346,29749,402.0,Raymond Bernal Jr Memorial Park (8th St at Hedding St),37.3568343528,-121.8959357589,California,San Jose,
347,29756,392.0,Sonora Ave at 1st St,37.3640604623,-121.9117319584,California,San Jose,
348,29957,403.0,10th St at Mission St,37.3556926512,-121.8922510743,California,San Jose,
349,30024,396.0,Metro Dr at Technology Dr,37.3676780524,-121.9187942147,California,San Jose,
350,33544,406.0,Parkmoor Ave at Race St,37.3167364785,-121.9100046158,California,San Jose,
351,33546,411.0,Octavia Blvd at Page St,37.7740179377,-122.4238085747,California,San Francisco,Western Addition
352,33553,409.0,2100 Powell St,37.8395430827,-122.2987177223,California,,
353,33555,376.0,Illinois St at 20th St,37.7604575554,-122.3875397444,California,San Francisco,Dogpatch
354,33575,417.0,Park Ave at Race St,37.3260108479,-121.9123274088,California,San Jose,
355,33629,416.0,Auzerais Ave at Los Gatos Creek Trail,37.3211818343,-121.9030898809,California,San Jose,
356,33647,410.0,Illinois St at Cesar Chavez St,37.7502000103,-122.3865674436,California,San Francisco,
357,33673,412.0,Glen Park BART Station,37.7328128005,-122.4341404438,California,San Francisco,Glen Park
358,33735,405.0,Sunol St at San Carlos St,37.3234513387,-121.9059759378,California,San Jose,
359,33771,418.0,17th St at Santa Clara St,37.343984678,-121.8743848801,California,San Jose,Naglee Park
360,33918,415.0,Delmas Ave at Virginia St,37.31975696,-121.8929994106,California,San Jose,
361,36262,25.0,Howard St at 2nd St,37.7869282568,-122.3981130123,California,San Francisco,Transbay
362,36263,424.0,Greenwich St at Webster St,37.7992079263,-122.4341216683,California,San Francisco,Cow Hollow
363,36264,316.0,1st St at San Carlos Ave,37.3311679942,-121.8869376183,California,San Jose,SoFA
364,36266,419.0,Fern St at Polk St,37.7881969078,-122.4203726649,California,San Francisco,Tenderloin
365,36282,422.0,Stockton Ave at Lenzen Ave,37.3367747628,-121.9091489911,California,San Jose,College Park
366,36323,427.0,Auzerais Ave at Lincoln Ave,37.3209685315,-121.9082960486,California,San Jose,
367,36372,425.0,Bird Ave at Willow St,37.3112839461,-121.8963253498,California,San Jose,
368,36394,426.0,San Carlos St at Meridian Ave,37.3233446906,-121.9134968519,California,San Jose,
369,36497,404.0,21st St at Santa Clara St,37.3457587953,-121.8706780672,California,San Jose,
370,36644,423.0,South San Jose State (7th St at Humboldt St),37.3203158211,-121.8700987101,California,San Jose,
371,36765,413.0,Balboa Park BART Station,37.7205549887,-122.4477231503,California,San Francisco,Ingleside
372,37163,421.0,23rd St at Taylor St,37.360001391,-121.8787783384,California,San Jose,
373,38168,130.0,22nd St Caltrain Station,37.7577040415,-122.391884923,California,San Francisco,Dogpatch
374,38184,440.0,Carl St at Cole St,37.7659102072,-122.4492573738,California,San Francisco,Cole Valley
375,38238,433.0,Gennessee St at Monterey Blvd,37.73165669,-122.4511215091,California,San Francisco,
376,38292,443.0,3rd St at Keyes St,37.3208661459,-121.8762785196,California,San Jose,
377,38307,431.0,Judson Ave at Gennessee St,37.7282815925,-122.4506950378,California,San Francisco,Ingleside
379,39939,377.0,Fell St at Stanyan St,37.7719511,-122.4537048,California,San Francisco,Haight-Ashbury
